invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,category_code,category_name,,month
INV-37250300024,7/06/2021,4950,KUM & GO #514 / CEDAR RAPIDS,1420 MT VERNON RD,CEDAR RAPIDS,52403,POINT(-91.651424 41.97769),57,LINN,65,JIM BEAM BRANDS,28275,JIM BEAM PEACH MINI,12,50,5.4,8.1,1,8.1,0.05,0.01,1011200,STRAIGHT BOURBON WHISKIES,,62021
INV-30211700010,14/09/2020,4956,THE COOLER,"4920, JOHNSON AVE NW",CEDAR RAPIDS,52405,POINT(-91.734311 41.967997),57,LINN,65,JIM BEAM BRANDS,19061,JIM BEAM MINI,12,50,5.4,8.1,1,8.1,0.05,0.01,1011200,STRAIGHT BOURBON WHISKIES,,92020
INV-30048600004,8/09/2020,4861,THE STATION / CEDAR RAPIDS,3645 STONE CREEK CIRCLE SW,CEDAR RAPIDS,52404,POINT(-91.747514 41.943626),57,LINN,65,JIM BEAM BRANDS,19061,JIM BEAM MINI,12,50,5.4,8.1,1,8.1,0.05,0.01,1011200,STRAIGHT BOURBON WHISKIES,,92020
INV-30253700111,15/09/2020,4152,FOOD LAND SUPER MARKETS,407 W HURON,MISSOURI VALLEY,51555,POINT(-95.899346 41.557404),43,HARRISON,65,JIM BEAM BRANDS,19061,JIM BEAM MINI,12,50,5.4,8.1,1,8.1,0.05,0.01,1011200,STRAIGHT BOURBON WHISKIES,,92020
INV-30514800007,24/09/2020,2515,HY-VEE FOOD STORE #1 / MASON CITY,2400 4TH ST SW,MASON CITY,50401,POINT(-93.235588 43.148451),17,CERRO GORDO,65,JIM BEAM BRANDS,27408,JIM BEAM HONEY MINI,12,50,5.4,8.1,1,8.1,0.05,0.01,1011200,STRAIGHT BOURBON WHISKIES,,92020
INV-30161200006,11/09/2020,2560,HY-VEE FOOD STORE / MARION,3600 BUSINESS HWY 151 EAST,MARION,52302,,57,LINN,65,JIM BEAM BRANDS,27780,JIM BEAM APPLE MINI,12,50,5.4,8.1,1,8.1,0.05,0.01,1011200,STRAIGHT BOURBON WHISKIES,,92020
INV-30446800041,22/09/2020,4947,THE MUSIC STATION,1420 W FIRST ST,CEDAR FALLS,50647,POINT(-92.462826 42.537839),7,BLACK HAWK,65,JIM BEAM BRANDS,28039,JIM BEAM VANILLA MINI,12,50,5.4,8.1,1,8.1,0.05,0.01,1011200,STRAIGHT BOURBON WHISKIES,,92020
INV-30002600020,4/09/2020,2591,HY-VEE WINE AND SPIRITS / ATLANTIC,1602 E 7TH ST,ATLANTIC,50022,POINT(-94.990031 41.403856),15,CASS,65,JIM BEAM BRANDS,28275,JIM BEAM PEACH MINI,12,50,5.4,8.1,1,8.1,0.05,0.01,1011200,STRAIGHT BOURBON WHISKIES,,92020
INV-31651300147,3/11/2020,3820,"CHARLIE'S WINE AND SPIRITS,",507 W 19TH ST,SIOUX CITY,51103,POINT(-96.420193 42.510535),97,WOODBURY,260,DIAGEO AMERICAS,10788,CROWN ROYAL VANILLA MINI,10,50,7.35,11.03,1,11.03,0.05,0.01,1012100,CANADIAN WHISKIES,,112020
INV-32001100071,17/11/2020,2578,HY-VEE / CHARLES CITY,901 KELLY ST,CHARLES CITY,50616,POINT(-92.67556 43.066993),34,FLOYD,260,DIAGEO AMERICAS,10803,CROWN ROYAL REGAL APPLE MINI,10,50,7.35,11.03,1,11.03,0.05,0.01,1012100,CANADIAN WHISKIES,,112020
